Year,Month,Day,P6,P12,P18,T6,T12,T18
2007,1,1,988.07,978.06,974.04,4.05,6.01,5.04
2007,1,2,987.04,991.07,994.07,3.02,3.05,2.09
2007,1,3,1004.05,1007.03,1006,2.01,2.09,0.02
2007,1,4,991.04,987,984.09,4.04,6.05,6.09
2007,1,5,990.05,996.09,1001.02,4.09,3.02,1.03
2007,1,6,998.05,1002.03,1003.07,2.05,1.08,2
2007,1,7,1002.09,1003.04,1002.03,3.08,5.02,3.04
2007,1,8,997.05,993.09,988.06,5.05,7.05,5.05
2007,1,9,993.03,987.05,978.05,4.04,5.08,8.08
2007,1,10,991,998.02,993.07,7.06,6,5.01
2007,1,11,992.02,994.03,985.09,0.08,-0.6,1.01
2007,1,12,984.05,995.06,994.05,1.06,1.04,1
2007,1,13,980.01,994.05,1003.01,4.01,3.01,1.08
2007,1,14,982.06,975.06,985.01,5.06,3.09,0.06
2007,1,15,1008.06,1001.02,1002.01,-0.1,4.07,7.05
2007,1,16,993.04,998.08,1000.08,7.03,7.01,4.01
2007,1,17,1005.04,1004.06,994.07,0.04,0.08,1.07
2007,1,18,978.03,976.07,972.09,3.08,4.08,3.04
2007,1,19,978.09,984.07,993.03,0.02,-2.3,-4.2
2007,1,20,1006,1001.01,988.09,-6.2,-3.4,-1.1
2007,1,21,978.02,987.07,994.06,0.04,-2,-2.9
2007,1,22,1004.01,1008.07,1012.04,-5.4,-5.1,-7.6
2007,1,23,1012.08,1012.01,1010.03,-8.2,-6.1,-3.8
2007,1,24,1011.07,1015.01,1018.04,-9.9,-5.3,-4.6
2007,1,25,1020.07,1019.07,1014.09,-8,-7,-7.9
2007,1,26,995.02,993,993.06,-2,0.02,-2.4
2007,1,27,999.06,1003.04,1006.04,-6.3,-5.3,-6.1
2007,1,28,1002.09,998,997.01,-8.1,-4.5,-3.7
2007,1,29,1006.06,1006.09,1005.03,-8.2,-6.2,-2.2
2007,1,30,1006.08,1010.01,1007.07,-3.2,-1.4,-1.7
2007,1,31,995.02,991.08,993.08,1.04,2.08,0.05
