Year;Month;Day;6.00;12.00;18.00;;;
2011;1;1;-2.8;-0.7;-2.4;;;
2011;1;2;-3.9;-4.0;-2.8;;;
2011;1;3;-6.0;-5.6;-8.9;;;
2011;1;4;-7.6;-5.9;-5.6;;;
2011;1;5;-0.8;-0.3;-0.9;;;
2011;1;6;-1.6;-1.2;-0.5;;;
2011;1;7;0.04;1.01;-1.5;;;
2011;1;8;-3.2;0.03;1.03;;;
2011;1;9;3.00;2.06;-0.6;;;
2011;1;10;2.00;2.05;2.07;;;
2011;1;11;-0.6;0.02;-0.5;;;
2011;1;12;0.04;0.05;-1.8;;;
2011;1;13;-3.0;-4.1;-8.2;;;
2011;1;14;-6.8;-4.6;-8.7;;;
2011;1;15;-5.2;-4.3;-4.9;;;
2011;1;16;0.03;1.07;3.04;;;
2011;1;17;4.04;4.00;3.04;;;
2011;1;18;2.07;2.09;2.00;;;
2011;1;19;-1.2;-0.6;-1.5;;;
2011;1;20;-3.2;-2.2;-1.3;;;
2011;1;21;-2.0;-1.7;-2.3;;;
2011;1;22;-2.5;0.00;-0.1;;;
2011;1;23;-4.4;-3.0;-4.0;;;
2011;1;24;-1.2;1.05;0.02;;;
2011;1;25;-0.6;-2.4;-3.6;;;
2011;1;26;-6.3;-4.0;-6.6;;;
2011;1;27;-10.1;-6.4;-5.8;;;
2011;1;28;-4.5;-3.3;-0.8;;;
2011;1;29;0.05;2.01;1.00;;;
2011;1;30;-0.4;0.05;-0.1;;;
2011;1;31;-2.6;2.04;1.00;;;
2011;2;1;2.00;3.00;3.01;;;
2011;2;2;2.06;3.06;1.06;;;
2011;2;3;2.00;4.05;3.02;;;
2011;2;4;-0.3;2.00;2.04;;;
2011;2;5;1.01;1.08;0.04;;;
2011;2;6;-0.6;3.01;1.03;;;
2011;2;7;-0.3;1.03;2.00;;;
2011;2;8;0.03;1.08;0.08;;;
2011;2;9;-0.5;-1.6;-3.1;;;
2011;2;10;-3.8;-0.9;-0.2;;;
2011;2;11;-2.8;-4.9;-8.3;;;
2011;2;12;-7.6;-5.4;-5.8;;;
2011;2;13;-7.6;-6.0;-9.3;;;
2011;2;14;-16.0;-10.4;-12.8;;;
2011;2;15;-11.0;-6.0;-7.6;;;
2011;2;16;-5.1;-3.7;-4.7;;;
2011;2;17;-4.9;-4.5;-6.7;;;
2011;2;18;-9.2;-6.8;-11.5;;;
2011;2;19;-18.2;-11.0;-11.9;;;
2011;2;20;-13.6;-5.8;-6.7;;;
2011;2;21;-6.3;-6.1;-8.5;;;
2011;2;22;-9.6;-7.2;-11.4;;;
2011;2;23;-14.8;-8.1;-9.8;;;
2011;2;24;-12.8;-6.6;-6.3;;;
2011;2;25;-3.4;-1.2;-0.4;;;
2011;2;26;-0.5;2.00;-0.7;;;
2011;2;27;-2.6;-2.1;-2.2;;;
2011;2;28;-3.1;-1.3;-2.0;;;
2011;3;1;-2.6;-2.0;-1.8;;;
2011;3;2;-5.7;2.00;-1.5;;;
2011;3;3;-2.3;2.02;0.09;;;
2011;3;4;-1.1;1.02;1.09;;;
2011;3;5;-0.7;3.00;0.06;;;
2011;3;6;-3.6;0.06;-0.6;;;
2011;3;7;-3.1;2.05;2.04;;;
2011;3;8;1.01;5.00;2.04;;;
2011;3;9;-0.8;4.00;2.05;;;
2011;3;10;1.00;4.04;1.08;;;
2011;3;11;0.06;2.03;1.00;;;
2011;3;12;0.09;5.08;3.06;;;
2011;3;13;0.09;3.03;1.07;;;
2011;3;14;2.03;3.09;1.05;;;
2011;3;15;-3.9;2.06;-0.6;;;
2011;3;16;-3.3;1.05;-1.3;;;
2011;3;17;-1.2;0.02;-0.4;;;
2011;3;18;0.03;0.05;0.01;;;
2011;3;19;-1.7;3.01;2.04;;;
2011;3;20;-2.9;6.05;4.04;;;
2011;3;21;3.00;6.04;5.04;;;
2011;3;22;6.00;11.01;9.02;;;
2011;3;23;3.06;9.02;7.07;;;
2011;3;24;1.06;5.02;2.09;;;
2011;3;25;-0.6;-1.6;0.04;;;
2011;3;26;-4.6;2.00;1.05;;;
2011;3;27;-2.2;3.04;3.01;;;
2011;3;28;-1.5;2.09;2.05;;;
2011;3;29;0.01;1.04;1.01;;;
2011;3;30;-2.8;3.07;1.04;;;
2011;3;31;-1.6;4.03;2.07;;;
2011;4;1;1.07;2.02;2.02;;;
2011;4;2;2.02;6.04;6.04;;;
2011;4;3;7.04;7.08;5.03;;;
2011;4;4;5.04;7.01;7.06;;;
2011;4;5;5.00;9.09;8.05;;;
2011;4;6;7.05;10.00;9.06;;;
2011;4;7;8.00;11.02;9.04;;;
2011;4;8;3.00;7.08;8.04;;;
2011;4;9;5.09;9.06;9.01;;;
2011;4;10;5.00;10.03;9.04;;;
2011;4;11;8.09;14.04;10.03;;;
2011;4;12;3.09;7.01;5.01;;;
2011;4;13;3.01;5.09;6.01;;;
2011;4;14;5.00;12.00;8.09;;;
2011;4;15;6.08;13.07;9.08;;;
2011;4;16;7.04;13.09;12.00;;;
2011;4;17;6.08;14.07;14.02;;;
2011;4;18;11.01;15.07;9.03;;;
2011;4;19;6.08;13.09;8.09;;;
2011;4;20;6.06;15.05;12.09;;;
2011;4;21;10.02;20.01;16.00;;;
2011;4;22;9.09;14.05;10.08;;;
2011;4;23;8.08;17.01;12.04;;;
2011;4;24;8.08;18.06;15.05;;;
2011;4;25;12.00;20.05;18.00;;;
2011;4;26;12.07;16.04;10.03;;;
2011;4;27;9.02;14.05;11.00;;;
2011;4;28;8.02;15.04;12.06;;;
2011;4;29;10.05;15.05;10.07;;;
2011;4;30;7.00;12.07;7.04;;;
2011;5;1;3.02;7.05;5.07;;;
2011;5;2;2.08;6.08;3.08;;;
2011;5;3;0.08;4.05;3.03;;;
2011;5;4;2.07;7.03;3.05;;;
2011;5;5;3.01;7.07;7.05;;;
2011;5;6;6.03;11.08;9.05;;;
2011;5;7;7.01;16.01;13.05;;;
2011;5;8;11.06;18.00;15.06;;;
2011;5;9;12.04;21.07;18.03;;;
2011;5;10;15.07;24.08.00;19.06;;;
2011;5;11;14.07;24.01.00;18.02;;;
2011;5;12;13.06;21.06;16.03;;;
2011;5;13;11.06;14.03;9.09;;;
2011;5;14;11.02;15.01;14.01;;;
2011;5;15;9.08;9.06;9.06;;;
2011;5;16;9.01;11.01;11.09;;;
2011;5;17;10.04;12.07;11.02;;;
2011;5;18;9.09;18.00;15.01;;;
2011;5;19;13.09;18.03;16.04;;;
2011;5;20;10.06;19.02;14.08;;;
2011;5;21;12.04;17.06;16.03;;;
2011;5;22;14.02;20.05;13.09;;;
2011;5;23;10.09;16.06;16.00;;;
2011;5;24;15.03;14.09;14.00;;;
2011;5;25;10.01;16.05;12.03;;;
2011;5;26;11.09;15.09;12.09;;;
2011;5;27;9.00;15.04;12.01;;;
2011;5;28;11.08;12.08;13.04;;;
2011;5;29;10.01;15.04;13.09;;;
2011;5;30;13.02;20.00;18.05;;;
2011;5;31;14.07;23.04;19.07;;;
2011;6;1;15.07;19.02;17.04;;;
2011;6;2;13.01;20.03;19.03;;;
2011;6;3;17.04;24.06.00;20.09;;;
2011;6;4;19.07;25.05.00;20.03;;;
2011;6;5;12.03;16.07;14.04;;;
2011;6;6;16.04;25.04.00;21.05;;;
2011;6;7;20.03;26.01.00;21.01;;;
2011;6;8;19.00;18.03;21.03;;;
2011;6;9;20.03;23.09;20.03;;;
2011;6;10;19.00;26.06.00;23.06;;;
2011;6;11;20.05;27.00.00;22.08;;;
2011;6;12;18.00;21.00;19.04;;;
2011;6;13;14.05;20.04;18.08;;;
2011;6;14;15.00;21.04;14.07;;;
2011;6;15;12.08;18.08;14.00;;;
2011;6;16;12.03;17.09;18.00;;;
2011;6;17;15.00;12.08;13.05;;;
2011;6;18;13.01;18.00;16.03;;;
2011;6;19;12.08;12.02;11.08;;;
2011;6;20;11.08;15.05;16.00;;;
2011;6;21;13.08;19.07;13.04;;;
2011;6;22;13.03;20.06;18.00;;;
2011;6;23;13.07;12.07;16.01;;;
2011;6;24;15.03;19.07;16.04;;;
2011;6;25;14.00;13.03;17.01;;;
2011;6;26;15.00;17.05;17.08;;;
2011;6;27;17.06;24.03.00;20.06;;;
2011;6;28;19.08;26.08.00;24.09.00;;;
2011;6;29;21.00;26.07.00;22.04;;;
2011;6;30;20.02;25.06.00;20.07;;;
2011;7;1;18.09;24.07.00;20.08;;;
2011;7;2;21.09;28.05.00;22.04;;;
2011;7;3;16.07;17.09;15.00;;;
2011;7;4;15.03;18.04;16.01;;;
2011;7;5;15.01;17.04;18.09;;;
2011;7;6;18.00;21.09;19.06;;;
2011;7;7;18.05;27.03.00;23.01;;;
2011;7;8;21.03;27.02.00;22.08;;;
2011;7;9;19.08;25.08.00;24.02.00;;;
2011;7;10;21.02;20.04;21.07;;;
2011;7;11;20.01;21.05;21.00;;;
2011;7;12;17.01;22.04;18.08;;;
2011;7;13;13.00;17.03;15.09;;;
2011;7;14;16.05;19.02;17.03;;;
2011;7;15;15.04;21.04;17.06;;;
2011;7;16;16.09;17.03;16.08;;;
2011;7;17;18.04;22.09;18.09;;;
2011;7;18;20.02;21.09;17.00;;;
2011;7;19;17.07;24.09.00;20.04;;;
2011;7;20;19.04;23.04;20.04;;;
2011;7;21;16.08;17.03;17.04;;;
2011;7;22;19.00;26.01.00;23.04;;;
2011;7;23;20.00;24.03.00;20.04;;;
2011;7;24;15.02;19.08;17.04;;;
2011;7;25;17.03;17.08;17.04;;;
2011;7;26;20.01;23.03;21.06;;;
2011;7;27;20.01;25.01.00;23.09;;;
2011;7;28;19.00;26.09.00;23.08;;;
2011;7;29;19.09;24.03.00;22.00;;;
2011;7;30;19.01;25.02.00;22.06;;;
2011;7;31;16.08;23.07;21.01;;;
2011;8;1;16.02;24.06.00;21.06;;;
2011;8;2;16.05;23.05;19.07;;;
2011;8;3;18.07;24.04.00;19.06;;;
2011;8;4;18.09;26.03.00;20.05;;;
2011;8;5;19.03;24.08.00;21.09;;;
2011;8;6;20.03;20.02;21.08;;;
2011;8;7;18.05;16.08;19.00;;;
2011;8;8;15.08;20.01;18.00;;;
2011;8;9;15.08;18.08;17.06;;;
2011;8;10;15.02;14.08;14.05;;;
2011;8;11;12.09;17.05;15.06;;;
2011;8;12;12.08;18.08;16.03;;;
2011;8;13;13.09;20.06;18.02;;;
2011;8;14;18.03;20.04;18.02;;;
2011;8;15;18.08;20.04;18.07;;;
2011;8;16;16.08;18.04;19.05;;;
2011;8;17;15.05;20.09;17.07;;;
2011;8;18;16.07;23.01;16.03;;;
2011;8;19;17.01;20.00;14.08;;;
2011;8;20;14.08;16.06;16.01;;;
2011;8;21;14.07;19.09;17.06;;;
2011;8;22;16.00;18.04;17.00;;;
2011;8;23;15.06;17.09;17.05;;;
2011;8;24;13.02;19.09;16.06;;;
2011;8;25;17.07;20.03;19.03;;;
2011;8;26;18.00;21.08;19.00;;;
2011;8;27;19.07;22.00;20.06;;;
2011;8;28;17.08;18.05;17.05;;;
2011;8;29;13.07;18.00;15.06;;;
2011;8;30;13.00;15.02;14.05;;;
2011;8;31;12.09;19.07;14.09;;;
2011;9;1;12.06;17.02;14.04;;;
2011;9;2;12.06;16.08;14.08;;;
2011;9;3;12.09;20.05;16.02;;;
2011;9;4;15.04;19.03;16.09;;;
2011;9;5;18.02;20.09;18.02;;;
2011;9;6;13.08;18.05;15.05;;;
2011;9;7;14.05;13.07;13.09;;;
2011;9;8;12.09;17.03;13.03;;;
2011;9;9;11.07;18.00;14.08;;;
2011;9;10;11.01;17.09;15.04;;;
2011;9;11;13.03;17.04;16.01;;;
2011;9;12;15.08;16.03;15.06;;;
2011;9;13;14.02;16.05;15.00;;;
2011;9;14;13.02;16.07;14.09;;;
2011;9;15;12.03;12.01;11.09;;;
2011;9;16;9.06;14.07;14.00;;;
2011;9;17;7.09;15.05;11.07;;;
2011;9;18;11.06;15.02;13.07;;;
2011;9;19;12.07;14.03;13.05;;;
2011;9;20;12.03;15.02;14.03;;;
2011;9;21;11.06;12.04;12.05;;;
2011;9;22;12.08;14.09;11.04;;;
2011;9;23;9.07;14.05;11.08;;;
2011;9;24;8.08;14.06;12.07;;;
2011;9;25;11.04;16.06;14.08;;;
2011;9;26;11.01;17.00;14.04;;;
2011;9;27;10.09;15.01;12.03;;;
2011;9;28;9.08;15.06;14.07;;;
2011;9;29;13.06;18.09;16.05;;;
2011;9;30;13.04;18.00;16.02;;;
2011;10;1;11.04;16.04;13.06;;;
2011;10;2;10.08;15.07;15.01;;;
2011;10;3;14.08;12.04;12.00;;;
2011;10;4;14.02;16.00;13.04;;;
2011;10;5;10.03;14.05;12.01;;;
2011;10;6;13.09;14.03;11.01;;;
2011;10;7;7.03;8.05;9.04;;;
2011;10;8;5.03;10.03;8.00;;;
2011;10;9;2.09;9.02;7.03;;;
2011;10;10;7.07;9.08;9.00;;;
2011;10;11;5.09;9.05;7.08;;;
2011;10;12;4.00;8.06;6.06;;;
2011;10;13;4.05;7.03;5.06;;;
2011;10;14;2.04;8.00;4.09;;;
2011;10;15;3.00;9.09;8.04;;;
2011;10;16;5.01;9.09;7.02;;;
2011;10;17;3.09;5.09;5.05;;;
2011;10;18;6.04;9.02;8.06;;;
2011;10;19;5.06;8.06;6.09;;;
2011;10;20;4.06;7.07;5.01;;;
2011;10;21;2.06;6.07;4.07;;;
2011;10;22;9.04;13.01;11.04;;;
2011;10;23;9.04;10.08;6.03;;;
2011;10;24;4.00;7.06;5.07;;;
2011;10;25;6.06;10.05;7.06;;;
2011;10;26;7.03;9.05;8.00;;;
2011;10;27;8.05;9.01;8.09;;;
2011;10;28;9.02;9.07;8.05;;;
2011;10;29;6.03;10.07;7.00;;;
2011;10;30;6.06;9.02;11.01;;;
