Year;Month;Day;6.00;12.00;18.00
2009;1;1;-4.1;-5.2;-6.0
2009;1;2;-7.8;-6.5;-4.7
2009;1;3;-4.0;-4.5;-5.8
2009;1;4;-10.2;-9.4;-10.7
2009;1;5;-9.3;-9.0;-8.6
2009;1;6;-4.4;-0.9;-0.3
2009;1;7;-5.7;-6.0;-7.7
2009;1;8;-9.5;-3.3;1.02
2009;1;9;2.05;5.07;2.03
2009;1;10;0.06;2.05;2.03
2009;1;11;1.09;3.03;3.00
2009;1;12;5.05;5.08;5.04
2009;1;13;4.05;4.07;4.05
2009;1;14;2.06;3.03;0.05
2009;1;15;-1.2;-2.7;-4.6
2009;1;16;-8.4;-5.1;-5.4
2009;1;17;-3.8;-1.6;-2.0
2009;1;18;-1.3;-0.6;-0.4
2009;1;19;-0.6;0.03;0.06
2009;1;20;1.04;2.02;2.04
2009;1;21;-0.1;1.06;0.02
2009;1;22;1.00;0.08;0.01
2009;1;23;0.00;2.00;2.01
2009;1;24;0.09;1.07;2.00
2009;1;25;2.01;2.03;2.01
2009;1;26;1.05;1.01;0.08
2009;1;27;-0.4;-0.2;-0.3
2009;1;28;0.03;0.05;0.07
2009;1;29;0.04;-0.3;-2.9
2009;1;30;-1.9;-0.8;-0.9
2009;1;31;-1.7;-0.4;-3.0
2009;2;1;-5.7;-2.0;-2.5
2009;2;2;-3.0;0.00;-1.1
2009;2;3;-3.0;0.03;-0.8
2009;2;4;-1.3;-1.2;-1.0
2009;2;5;-1.3;0.02;0.05
2009;2;6;0.07;0.09;1.05
2009;2;7;1.01;2.03;2.00
2009;2;8;1.09;1.07;-1.1
2009;2;9;-3.8;-0.4;-0.7
2009;2;10;-2.7;-0.3;0.01
2009;2;11;-1.8;0.05;-0.6
2009;2;12;-2.1;-0.4;-2.6
2009;2;13;-3.4;-2.0;-3.5
2009;2;14;-7.9;-4.5;-3.5
2009;2;15;-5.5;-1.8;-2.6
2009;2;16;-4.1;-3.3;-4.6
2009;2;17;-5.0;-3.0;-4.3
2009;2;18;-5.7;-3.0;-4.8
2009;2;19;-4.7;-3.5;-4.6
2009;2;20;-4.9;-2.1;-3.8
2009;2;21;-6.3;-0.5;-3.0
2009;2;22;-0.6;0.02;-0.1
2009;2;23;-1.9;-2.2;-1.4
2009;2;24;-3.0;1.01;1.07
2009;2;25;-0.1;2.08;0.06
2009;2;26;1.05;2.07;2.04
2009;2;27;-0.9;0.07;-0.6
2009;2;28;-5.4;-1.3;-3.5
2009;3;1;-7.4;-1.0;-2.4
2009;3;2;-0.5;1.03;0.07
2009;3;3;0.05;3.01;2.09
2009;3;4;1.08;3.08;2.00
2009;3;5;0.03;3.00;1.04
2009;3;6;1.03;2.01;0.02
2009;3;7;0.06;1.02;0.04
2009;3;8;-0.4;3.02;1.02
2009;3;9;1.02;1.02;0.08
2009;3;10;-1.0;0.01;-1.6
2009;3;11;-2.5;0.01;-0.8
2009;3;12;-2.3;0.07;0.04
2009;3;13;0.06;2.08;1.04
2009;3;14;1.04;3.03;2.02
2009;3;15;1.01;4.05;3.02
2009;3;16;-0.7;6.05;4.01
2009;3;17;2.08;3.08;5.03
2009;3;18;0.01;4.08;2.08
2009;3;19;-1.0;1.09;-1.2
2009;3;20;-1.1;4.05;3.05
2009;3;21;3.08;5.03;2.06
2009;3;22;-1.4;2.02;0.01
2009;3;23;-1.3;0.07;-1.5
2009;3;24;-4.0;-0.7;-4.1
2009;3;25;-5.9;-0.5;-0.7
2009;3;26;-4.1;2.06;-0.8
2009;3;27;-1.5;1.05;0.00
2009;3;28;1.01;2.05;1.09
2009;3;29;0.06;3.06;1.09
2009;3;30;-0.1;6.07;5.09
2009;3;31;4.09;10.04;6.09
2009;4;1;2.09;9.05;4.08
2009;4;2;4.09;11.04;10.03
2009;4;3;3.06;12.03;11.05
2009;4;4;5.08;14.01;12.05
2009;4;5;7.05;7.05;8.02
2009;4;6;5.00;11.09;10.07
2009;4;7;3.05;9.03;1.08
2009;4;8;1.04;8.05;6.07
2009;4;9;5.05;7.05;8.08
2009;4;10;6.08;14.07;11.08
2009;4;11;10.01;17.04;12.05
2009;4;12;8.02;15.07;8.08
2009;4;13;4.06;15.00;11.06
2009;4;14;5.02;10.07;8.03
2009;4;15;4.09;10.02;7.00
2009;4;16;3.06;6.08;4.03
2009;4;17;4.06;10.05;10.07
2009;4;18;3.01;5.05;3.01
2009;4;19;1.08;10.03;10.05
2009;4;20;3.06;7.08;3.08
2009;4;21;2.07;5.06;3.08
2009;4;22;4.00;8.00;7.00
2009;4;23;5.09;14.08;10.09
2009;4;24;10.07;18.03;14.07
2009;4;25;10.08;20.00;12.08
2009;4;26;9.05;20.00;14.06
2009;4;27;10.06;17.08;13.04
2009;4;28;11.01;18.05;16.02
2009;4;29;8.02;15.01;9.08
2009;4;30;9.07;11.01;8.06
2009;5;1;7.04;17.00;12.05
2009;5;2;9.02;18.05;13.08
2009;5;3;11.04;18.02;13.05
2009;5;4;7.02;11.09;11.00
2009;5;5;8.00;10.09;9.02
2009;5;6;8.06;13.02;8.09
2009;5;7;8.05;14.09;12.04
2009;5;8;8.06;14.08;12.06
2009;5;9;7.01;14.04;13.04
2009;5;10;11.01;15.08;13.09
2009;5;11;9.05;11.02;10.04
2009;5;12;7.06;12.00;11.04
2009;5;13;8.04;14.08;12.01
2009;5;14;7.01;12.01;9.02
2009;5;15;8.04;13.09;11.09
2009;5;16;7.02;15.00;11.08
2009;5;17;7.09;17.03;12.04
2009;5;18;9.07;9.03;8.01
2009;5;19;8.04;12.05;13.07
2009;5;20;10.08;15.07;14.02
2009;5;21;11.05;16.05;14.00
2009;5;22;11.00;11.06;10.08
2009;5;23;9.07;12.04;15.07
2009;5;24;12.08;17.06;14.01
2009;5;25;13.05;21.09;19.05
2009;5;26;15.06;21.07;14.09
2009;5;27;15.08;18.06;15.07
2009;5;28;11.03;12.03;9.07
2009;5;29;10.09;17.02;16.05
2009;5;30;14.02;23.04;19.04
2009;5;31;16.04;26.06.00;21.09
2009;6;1;18.07;23.09;18.07
2009;6;2;12.08;8.06;9.03
2009;6;3;8.08;12.07;11.09
2009;6;4;8.01;7.03;6.03
2009;6;5;6.09;8.02;8.01
2009;6;6;7.01;10.09;9.00
2009;6;7;9.05;13.07;10.08
